Wall time,Step,Value
1588662630.818866,466,0.3639734089374542
1588662641.9371881,476,0.25725677609443665
1588662657.33668,491,0.19458025693893433
1588662659.4133818,493,0.18760018050670624
1588662661.5084422,495,0.17433157563209534
1588662678.497684,509,0.17215999960899353
1588662683.654741,514,0.16504698991775513
1588662685.733645,516,0.17159146070480347
1588662688.832433,519,0.18724648654460907
1588662697.2448168,527,0.18737024068832397
1588662703.816669,533,0.18490569293498993
1588662705.905568,535,0.18022900819778442
1588662709.022304,538,0.17073358595371246
1588662715.411124,544,0.19859525561332703
1588662720.5656362,549,0.21067118644714355
1588662730.902335,559,0.20496298372745514
1588662737.100019,565,0.15924836695194244
1588662743.267232,571,0.1569514274597168
1588662747.594718,575,0.15955273807048798
1588662753.7683258,581,0.15265479683876038
1588662755.831053,583,0.14814062416553497
1588662756.868583,584,0.14773163199424744
1588662758.9963222,586,0.15603362023830414
1588662761.032018,588,0.1500803828239441
1588662762.054086,589,0.15017074346542358
1588662767.044721,594,0.14245712757110596
1588662768.018662,595,0.13658656179904938
1588662779.2511418,604,0.8630886077880859
1588662785.4872892,610,0.5452104210853577
1588662787.539576,612,0.46734383702278137
1588662792.7279592,617,0.32803210616111755
1588662797.87665,622,0.24619793891906738
1588662799.9582431,624,0.2217729091644287
1588662812.991204,636,0.14973758161067963
1588662819.753502,643,0.12838822603225708
1588662820.746633,644,0.1348215639591217
1588662822.685169,646,0.13769493997097015
1588662824.674449,648,0.12471715360879898
1588662825.655982,649,0.11824250966310501
1588662827.6572921,651,0.11768035590648651
1588662839.941138,663,0.11672639846801758
1588662843.026869,666,0.1121097132563591
1588662847.125234,670,0.1050577387213707
1588662850.2067661,673,0.09899944812059402
1588662853.3178618,676,0.10810847580432892
1588662857.487767,680,0.10094448179006577
1588662858.4926531,681,0.09912613034248352
1588662862.410663,685,0.09746001660823822
1588662867.284632,690,0.12338995933532715
1588662868.2840672,691,0.11870857328176498
1588662881.1619809,701,0.18233293294906616
1588662885.2846332,705,0.16737064719200134
1588662888.404331,708,0.19363245368003845
1588662896.610325,716,0.1590651273727417
1588662901.08374,720,0.14987103641033173
1588662904.400173,723,0.15868516266345978
1588662905.524925,724,0.15634343028068542
1588662906.649013,725,0.14697740972042084
1588662914.067115,732,0.13092727959156036
1588662920.303809,738,0.12578216195106506
1588662922.361145,740,0.14221400022506714
1588662923.402973,741,0.13913583755493164
1588662927.561811,745,0.12999048829078674
1588662931.6810071,749,0.12435735762119293
1588662934.771075,752,0.12710754573345184
1588662935.825697,753,0.13427728414535522
1588662936.8374379,754,0.13688577711582184
1588662940.9994712,758,1.2888187170028687
1588662950.843266,767,0.5862283706665039
1588662955.245982,771,0.4257698655128479
1588662956.356008,772,0.38957858085632324
1588662957.3879611,773,0.37483876943588257
1588662959.4695628,775,0.31791067123413086
1588662960.471099,776,0.29956555366516113
1588662966.688761,782,0.2271181046962738
1588662973.278635,786,0.18770073354244232
1588662974.321701,787,0.17596854269504547
1588662975.645694,789,0.14835786819458008
1588662976.956112,791,0.12325327843427658
1588662980.009567,794,0.1270725578069687
1588662981.02336,795,0.12420818954706192
1588662982.026906,796,0.12411394715309143
1588662983.050287,797,0.1177474856376648
1588662988.6501,800,0.10556580871343613
1588662992.768279,804,0.12045028805732727
1588662997.9234,809,0.13467742502689362
1588662998.966888,810,0.13658887147903442
1588662999.996164,811,0.13607366383075714
1588663006.202913,817,0.13789847493171692
1588663016.83693,827,0.1295962631702423
1588663024.217699,834,0.12684352695941925
1588663028.61698,838,0.11320523172616959
1588663030.84414,840,0.11394593864679337
1588663036.151398,845,0.10293576866388321
1588663061.077813,869,0.09304962307214737
1588663063.1233559,871,0.09376468509435654
1588663064.156912,872,0.0923512727022171
1588663068.310951,876,0.10033120214939117
1588663070.37944,878,0.10555119067430496
1588663074.538713,882,0.11432969570159912
1588663076.658994,884,0.10452471673488617
